document,date,location
No-MM_N0206,1896-12%1897-01,N/A
No-MM_N0213,1929-02,N/A
No-MM_N0241,1909-04-20,N/A
No-MM_N0253,1929-02,N/A
No-MM_N0266,1907%1908,N/A
No-MM_N0275,1932-11,N/A
No-MM_N0277,1909-01,N/A
No-MM_N0278,1899,N/A
No-MM_N0341,N/A,Oslo
No-MM_N0352,1906-12-17,N/A
No-MM_N0395,1918-09,Oslo
No-MM_N0490,N/A,Berlin
No-MM_N0492,1909-12,N/A
No-MM_N0552,1910-04-26,N/A
No-MM_N0553,1896-12,N/A
No-MM_N0561,N/A,Oslo
No-MM_N0570,N/A,Oslo
No-MM_N0619,1909-11,N/A
No-MM_N0668,1906-02-19,Weimar
No-MM_N0669,1906-12%1907-01,N/A
No-MM_N0670,1911-10,N/A
No-MM_N0672,1916%1917,N/A
No-MM_N0678,1916%1917,N/A
No-MM_N0679,1927-02-12,Oslo
No-MM_N0681,1916%1917,N/A
No-MM_N0685,1904-06-18,Åsgårdstrand
No-MM_N0687,N/A,Oslo
No-MM_N0691,1908-05-12,N/A
No-MM_N0698,1926-10,N/A
No-MM_N0702,1905,N/A
No-MM_N0703,N/A,Oslo
No-MM_N0710,1914-09,N/A
No-MM_N0711,N/A,Oslo
No-MM_N0712,1905-11-06,N/A
No-MM_N0716,1874-06-18,N/A
No-MM_N0717,1875-08-02,Løten
No-MM_N0718,1878-05-18,N/A
No-MM_N0719,1885-05-01,N/A
No-MM_N0720,1889-02-01,N/A
No-MM_N0721,1889-10-09,Paris
No-MM_N0722,1889-11-02,N/A
No-MM_N0723,1878-08-20,Gardermoen
No-MM_N0724,1879-07-06,Helgelandsmoen
No-MM_N0725,1891-01-02,Le Havre
No-MM_N0726,1894-04,N/A
No-MM_N0727,1894-10,N/A
No-MM_N0728,1876-06-27,Gardermoen
No-MM_N0729,1879-06-21,Helgelandsmoen
No-MM_N0730,1882-05-26,N/A
No-MM_N0731,1884-07,N/A
No-MM_N0732,1884-07,N/A
No-MM_N0733,1884-09,N/A
No-MM_N0734,1885-05-05,Paris
No-MM_N0735,1888-07-06,Hankø
No-MM_N0736,1888-07-13,N/A
No-MM_N0737,1889-01-08,N/A
No-MM_N0738,1889,N/A
No-MM_N0739,1889-10,N/A
No-MM_N0740,1889-11-14,N/A
No-MM_N0741,1889-11-30,Paris
No-MM_N0742,1889-12-04,Paris
No-MM_N0743,1889-12-19,Paris
No-MM_N0744,1890-01-02,Saint-Cloud
No-MM_N0745,1890-01-15,Saint-Cloud
No-MM_N0746,1890-02,Saint-Cloud
No-MM_N0747,1890-03,Saint-Cloud
No-MM_N0748,1890,N/A
No-MM_N0749,1890-11-09,Le Havre
No-MM_N0750,1890-11-21,Le Havre
No-MM_N0751,1890-11-25,Le Havre
No-MM_N0752,1890-12-03,Le Havre
No-MM_N0753,1890-12-29,Le Havre
No-MM_N0754,1890,N/A
No-MM_N0755,1890-02,N/A
No-MM_N0756,1891-01,N/A
No-MM_N0757,1891-11-30,N/A
No-MM_N0758,1891-01-09,Nice
No-MM_N0759,1891-01-18,N/A
No-MM_N0760,1891-01-21,N/A
No-MM_N0761,1891-01-20,Nice
No-MM_N0762,1891-02-09,Nice
No-MM_N0763,1891-02-13,Nice
No-MM_N0764,1891-02-17,Nice
No-MM_N0765,1891-03,N/A
No-MM_N0766,1891-03,N/A
No-MM_N0767,1891-03-10,Nice
No-MM_N0768,1891-03-18,Nice
No-MM_N0769,1891-04-06,N/A
No-MM_N0770,1891-04-13,Nice
No-MM_N0771,1891-04-25,N/A
No-MM_N0772,1891-05-06,N/A
No-MM_N0773,1891-05-17,N/A
No-MM_N0774,1891-11,N/A
No-MM_N0775,1891-01,N/A
No-MM_N0776,1891-12-06,Nice
No-MM_N0777,1892-01-02,Nice
No-MM_N0778,1892-02,N/A
No-MM_N0779,1892-02,N/A
No-MM_N0780,1892-02-23,Nice
No-MM_N0781,1892-10-20,N/A
No-MM_N0782,1892-03,N/A
No-MM_N0783,1892-10-25,Berlin
No-MM_N0784,1892-11,N/A
No-MM_N0785,1892-11-12,Berlin
No-MM_N0786,1892-11-17,Berlin
No-MM_N0787,1892-11-26,Berlin
No-MM_N0788,1893-12,N/A
No-MM_N0789,1906-06,N/A
No-MM_N0790,1893-01-20,Berlin
No-MM_N0791,1893-02-25,Berlin
No-MM_N0792,1893-04,N/A
No-MM_N0793,1893-06,N/A
No-MM_N0794,1893-05-26,Dresden
No-MM_N0795,1893-06-18,N/A
No-MM_N0796,1893,N/A
No-MM_N0797,1893-11-17,N/A
No-MM_N0798,1893-12-18,Berlin
No-MM_N0799,1906-03,N/A
No-MM_N0800,1893-12-03,Berlin
No-MM_N0801,1892-12%1893-01,N/A
No-MM_N0802,1894-02-25,N/A
No-MM_N0803,1894-03-13,Berlin
No-MM_N0804,1894-04-29,Berlin
No-MM_N0805,1894-10-07,Stockholm
No-MM_N0806,1894-10-24,Berlin
No-MM_N0807,1894-11-14,Berlin
No-MM_N0808,1895-02-03,Berlin
No-MM_N0809,1894-04,N/A
No-MM_N0810,1895-03,N/A
No-MM_N0811,1895-06,N/A
No-MM_N0812,1895-10,N/A
No-MM_N0813,1895-10-26,N/A
No-MM_N0814,1896-02-26,N/A
No-MM_N0815,1897,N/A
No-MM_N0816,1896-03,N/A
No-MM_N0817,1896-03-27,N/A
No-MM_N0818,1896-05-12,N/A
